Transaction_ID,UPI_Handle,Amount,Transaction_Type,Timestamp,Recipient_UPI,Bank_Name,Device_IP
TXN_000000,mule.5@okhdfcbank,22655,CREDIT,2026-09-02 19:46:30.924365,victim.sharma@okaxis,ICICI,143.132.124.216
TXN_000001,victim.patel@okidfcbank,5279,DEBIT,2026-08-26 02:46:30.924365,victim.patel@okidfcbank,Axis,89.83.70.213
TXN_000002,mule.1@okhdfcbank,39892,TRANSFER,2026-09-07 23:46:30.924365,mule.4@okhdfcbank,Kotak,9.170.144.49
TXN_000003,mule.4@okhdfcbank,28075,CREDIT,2026-09-07 18:46:30.924365,victim.sharma@okaxis,SBI,150.126.78.50
TXN_000004,victim.patel@okidfcbank,32437,DEBIT,2026-08-23 07:46:30.924365,mule.3@okhdfcbank,Axis,239.157.188.129
TXN_000005,victim.patel@okidfcbank,14659,TRANSFER,2026-08-28 17:46:30.924365,victim.sharma@okaxis,Axis,64.29.120.137
TXN_000006,victim.patel@okidfcbank,4188,TRANSFER,2026-09-16 17:46:30.924365,mule.3@okhdfcbank,HDFC,65.127.3.82
TXN_000007,victim.sharma@okaxis,40103,DEBIT,2026-09-16 19:46:30.924365,mule.5@okhdfcbank,SBI,129.110.82.42
TXN_000008,victim.sharma@okaxis,46404,CREDIT,2026-08-31 19:46:30.924365,victim.sharma@okaxis,SBI,99.98.169.103
TXN_000009,victim.patel@okidfcbank,13586,CREDIT,2026-09-10 04:46:30.924365,mule.4@okhdfcbank,HDFC,148.170.149.6
TXN_000010,mule.4@okhdfcbank,16894,CREDIT,2026-09-08 00:46:30.924365,mule.2@okhdfcbank,Axis,107.63.80.14
TXN_000011,victim.patel@okidfcbank,10161,DEBIT,2026-09-12 04:46:30.924365,victim.sharma@okaxis,SBI,65.6.163.150
TXN_000012,victim.sharma@okaxis,43076,CREDIT,2026-09-06 20:46:30.924365,victim.sharma@okaxis,HDFC,194.128.59.157
TXN_000013,victim.sharma@okaxis,39415,TRANSFER,2026-09-14 12:46:30.924365,mule.2@okhdfcbank,HDFC,97.194.192.17
TXN_000014,victim.sharma@okaxis,30106,TRANSFER,2026-09-05 19:46:30.924365,mule.4@okhdfcbank,Axis,163.44.35.70
TXN_000015,victim.patel@okidfcbank,23674,CREDIT,2026-09-14 08:46:30.924365,mule.2@okhdfcbank,HDFC,47.204.249.98
TXN_000016,victim.patel@okidfcbank,12912,DEBIT,2026-09-19 20:46:30.924365,mule.3@okhdfcbank,SBI,142.41.75.232
TXN_000017,victim.patel@okidfcbank,9960,TRANSFER,2026-09-06 01:46:30.924365,mule.1@okhdfcbank,ICICI,122.218.100.107
TXN_000018,victim.patel@okidfcbank,3734,TRANSFER,2026-08-21 00:46:30.924365,mule.3@okhdfcbank,Kotak,140.88.203.191
TXN_000019,victim.sharma@okaxis,37083,DEBIT,2026-08-23 20:46:30.924365,mule.3@okhdfcbank,ICICI,60.118.204.217
